問題番号,問題,正解の解答,不正解の解答１,不正解の解答２,不正解の解答３,答えの解説
1,このレストランの 料理は おいしくないので、お店は いつも（　　　　）だ。,がらがら,ふらふら,げらげら,ぐっすり,「がらがら」… vide / désert
2,一生懸命 働いても、（　　　　）成功するとは かぎらない。,かならずしも,かならず,たとえ,いくら,「必ずしも～ない」… ne pas forcément
3,まだ使えるのに、捨ててしまうのは（　　　　）ことだ。,もったいない,仕方ない,つまらない,済まない,「もったいない」… C'est jeter / dommage
4,そこに自転車を止めると（　　　　）になるから、どかしてもらえますか。,じゃま,めんどう,だめ,むだ,「じゃま（な）」… gênant
5,「ラグマン」は こむぎこから 作られためんを（　　　　）、その上に肉と野菜をのせて食べる料理です。,ゆでて,にて,いためて,あげて,「ゆでる」… faire bouillir (avec de l'eau)
6,昔はよく「まんがばかり読んでいると、想像（　　　　）が貧しくなる」と言われたものだ。,力,的,さ,化,「～力（りょく）」… niveau / compétence
7,先週来た台風で、２０メートルもある木が（　　　　）しまった。,たおれて,ころんで,おちて,きって,「たおれる」… tomber par terre / couché / s'écrouler
8,全員が自分の意見を（　　　　）したので、会議がなかなか終わらなかった。,主張（しゅちょう）,返信（へんしん）,命令（めいれい）,注文（ちゅうもん）,「主張（しゅちょう）する」… prétendre / persister
9,セミナーに参加したい人は（　　　　）に住所と氏名を書いてください。,もうしこみしょ,りょうしゅうしょ,さんこうしょ,しょうめいしょ,「申込書（もうしこみしょ）」… formulaire d'inscription
10,このオレンジはアメリカ（　　　　）です。,産（さん）,製（せい）,品（ひん）,作（さく）,「～産（さん）」… produit (alimentaire)
11,彼のファンは、彼を間近で見て、うれしさのあまり気を（　　　　）しまった。,うしなって,つけて,して,なって,「気を失う（うしなう）」… s'évanouir
12,A「すずきさん、ご結婚おめでとうございます。（　　　　）。」 B「ありがとうございます。」,おしあわせに,おだいじに,お元気で,おつかれさまです,「お幸せに（おしあわせに）」… Tous mes vœux de bonheur.
13,家に帰る（　　　　）、偶然（ぐうぜん）高校時代の友だちと会って、色々話した。,途中で（とちゅうで）,場合（ばあい）,後で,先に（さきに）,「途中で（とちゅうで）」… à mi-chemin / sur le chemin
14,中学生のとき、父に買って（　　　　）かばんを今でも使っています。,もらった,あげた,くれた,くださった,「父に買ってもらった」… Mon père m'a acheté
15,勉強すればするほど、自信が（　　　　）。,つきます,あります,できます,もちます,「自信（じしん）がつく」… prendre confiance en soi-même
16,もうすぐ 家族が 東京に 来るので、色々なところに （　　　　）つもりです。,つれていく,もっていく,むかえにいく,見せる,「連れていく（つれていく）」… emmener quelqu'un
17,将来のために、お金を（　　　　）います。,ためて,つもって,かさねて,もって,「お金を ためる」… épargner de l'argent
18,あたたかい うちに ご飯を（　　　　）ください。,めしあがって,いただいて,おつくりして,いらっしゃって,「めしあがる」… manger (v honorifique)
19,家の すぐ 近くで 車と トラックが ぶつかる（　　　　）が おきた。,じこ,じけん,じしん,かじ,「じこ」… accident
20,兄は よく じょうだんを（　　　　）、家族を わらわせます。,いって,して,はなして,きいて,「じょうだんを 言う」… dire une blague
21,はが悪いので、（　　　　）ものは 食べられません。,かたい,ふかい,かるい,よわい,「かたい」… dur / solide
22,はが悪いので、（　　　　）ものは 食べられません。,かたい,ふかい,かるい,よわい,「かたい」… dur / solide
23,山田さんの いえの 電気が ついていませんね。山田さんは（　　　　）の ようです。,るす,ちゅうし,じゆう,せわ,「るす」… être absent / ne pas être à la maison
24,私の へやは このアパートの ２（　　　　）です。,かい,ど,だい,こ,「～かい」… compteur pour les étages
25,近くの 本屋で 日本語の 本を ３（　　　　）買いました。,さつ,まい,ひき,ぼん,「～さつ」… compteur pour les livres
26,このしゃしんを 見ると、子どもの ころを（　　　　）。,おもいだします,おぼえます,おぼえています,わすれます,「おもいだす」… se rappeler / (un souvenir) revient
27,あと1時間で この 仕事を ぜんぶ やるのは（　　　　）です。,むり,ふべん,ふくざつ,ふしぎ,「むり（な）」… impossible
28,ひっこして ３カ月。やっと この町の 生活に（　　　　）きました。,なれて,なって,なおって,なおして,「なれる」… s'habituer
29,ニュースに よると、この町の 人口は 毎年（　　　　）いる そうです。,ふえて,ふやして,あがって,あげて,「ふえる」… augmenter (v intransitif)
30,私は さいごに 好きなものを 食べる（　　　　）だ。,タイプ,チーム,バイト,カレンダー,「タイプ」… type / type de personne
31,A「たかはしさんは お元気ですか。」 B「さあ、（　　　　）あっていませんから。」,さいきん,こんど,ひさしぶりに,たまに,「さいきん」… récemment
32,ごみばこは きょうしつの （　　　　）に  あります。,すみ,うえ,あいだ,かど,「すみ」… coin
33,このじしょは （　　　　）おもいので、持ち運びに ふべんです。,あつくて,うすくて,ほそくて,こくて,「厚い（あつい）」… épais ("thick " en anglais)
34,A「きょうとまで でんしゃと バスと（　　　　）が やすいですか。」 B「バスのほうが やすいです。」,どちら,どれ,どの,なに,「どちら」…lequel (entre les deux)
35,あついから、（　　　　）のみものが のみたいです。,つめたい,さむい,あかるい,せまい,「つめたい」…  froid (la touche)
36,どうぞ、このタオルを（　　　　）ください。,つかって,つけて,つくって,ついて,「つかう」… utiliser
37,ねつが たかいので、（　　　　）へ いったほうが いいですよ。,びょういん,びよういん,びじゅつかん,はくぶつかん,「びょういん」… hôpital
38,わたしは だいがくで にほんぶんがくを（　　　　）います。,けんきゅうして,はたらいて,はいって,おぼえて,「けんきゅうする」… faire des recherches / étudier
39,おなかが （　　　　）から、あそこで なにか たべましょう。,すきました,かわきました,いたいです,ふらふらです,「おなかが すいた」… avoir faim
40,つよい かぜが（　　　　）いますから、まどを しめてください。,ふいて,ふって,ふきて,ふりて,「ふく」… souffler
41,しらない ことばが ありましたから、せんせいに（　　　　）しました。,しつもん,もんだい,れんしゅう,きき,「しつもんする」… poser une question
42,そのナイフで りんごを（　　　　）ください。,きって,きいて,きりて,きて,「きる」… couper
43,このコーヒーは さとうを たくさん いれたから、（　　　　）です。,あまい,まるい,わかい,あつい,「あまい」… sucré
44,せんしゅう  としょかんで かりた まんがの ほんを （　　　　）に いきます。,かえし,かし,かい,かき,「かえす」… rendre
45,（　　　　）ともだちと ふたりで ニューヨークに いきました。,きょねん,あさって,ことし,らいげつ,「きょねん」… l'année dernière
46,ここで くつを ぬいで、（　　　　）を はいてください。,スリッパ,セーター,マフラー,ネックレス,「スリッパ」… pantoufle
47,この ケータイは かるくて、（　　　　）も いいですね。,デザイン,チャンス,ポケット,バッグ,「デザイン」… design
48,A「この はなは ３ぼんで（　　　　）ですか。」 B「４００えんです。」,いくら,いくつ,いかが,どちら,「いくら」… combien cela coûte
49,１０がつごろから くらくなるのが（　　　　）はやくなります。,だんだん,いろいろ,ときどき,まっすぐ,「だんだん」… petit à petit / progressivement
50,A「Bさんの おねえさんは どの人ですか。」 B「あの めがねを（　　　　）いる人です。」,かけて,かぶって,きて,はいて,「めがねを かける」… mettre ses lunettes
